"ds","yhat","yhat_lower","yhat_upper","trend"
1995-01-01,165.438702009788,151.084752030158,180.022310136362,152.43255014805
1996-01-01,171.228010807909,156.345762563759,186.540108918766,152.492733526045
1997-01-01,163.288444081791,147.956877959464,178.856277606239,152.553081786873
1998-01-01,162.951747361695,148.874107984594,178.641253868597,152.613265166401
1999-01-01,165.6796004084,149.998538851458,180.417860146518,152.673448546663
2000-01-01,171.46890921254,156.818367503328,186.479945674575,152.733631930663
2001-01-01,163.529342500559,149.90227837868,177.398206490744,152.793980205643
2002-01-01,163.192645833685,148.536049408045,177.698570856842,152.854163638391
2003-01-01,165.921010250714,149.814549614091,180.405466256127,152.914858388964
2004-01-01,171.717698028142,157.445920647293,186.912846304258,152.982420746285
2005-01-01,163.793128396143,149.619936035224,177.728138642465,153.05776610124
2006-01-01,163.47524808405,149.831590654387,178.15676460598,153.136765888756
2007-01-01,166.231887516948,151.846598803408,181.829843339841,153.225735655204
2008-01-01,177.50652436389,163.455179856063,192.656988542955,158.771247082034
2009-01-01,176.086105963507,161.244475814368,190.225547240045,165.350743668581
2010-01-01,182.259396032835,166.491460432296,196.135819410558,171.920913837541
2011-01-01,191.506517758394,177.79205101838,207.233082232303,178.500365896645
2012-01-01,203.818258611871,189.800996865165,219.348522479271,185.082981330022
2013-01-01,202.425692738107,187.959191016915,216.663060095176,191.690330443174
2014-01-01,208.620327884383,194.56577929329,223.568725126057,198.281845689087
2015-01-01,217.879512802994,202.787196161515,232.911940498085,204.873360941246
2016-01-01,230.20015660865,215.813521297572,245.386736062509,211.464879326804
2017-01-01,228.809818967292,214.064977788839,244.725998457711,218.074456672366
2018-01-01,235.004457258726,221.262932882108,250.383186170119,224.665975063431
2019-01-01,244.263645316255,227.808538673396,258.873024301538,231.257493454497
2020-01-01,256.584289127393,241.155735284403,271.363710701406,237.849011845562
2021-01-01,255.193951486038,240.201265346598,270.699244002174,244.458589191124
2022-01-01,261.388589777485,246.657133108016,275.775662955442,251.050107582189
2023-01-01,270.647777834998,254.87117564999,285.67189482562,257.641625973255
2024-01-01,282.968421646187,269.679571866392,298.150535621207,264.23314436432
2025-01-01,281.578084004823,266.733274169477,296.751400924206,270.842721709882
2026-01-01,287.772722296242,272.973046530095,302.137695388752,277.434240100948
2027-01-01,297.031910353776,282.950046608599,311.522851387135,284.025758492013
2028-01-01,309.352554164909,294.008642537517,324.99097998685,290.617276883078
2029-01-01,307.962216523556,291.421415196865,324.50348038429,297.22685422864
2030-01-01,314.156854814997,298.260575835943,330.708673675073,303.818372619706
2031-01-01,323.416042872537,306.942044974906,340.763551464009,310.409891010771
2032-01-01,335.736686683709,318.374283615522,354.320862647648,317.001409401837
2033-01-01,334.346349042301,314.236584542528,353.727187607041,323.610986747398
2034-01-01,340.54098733376,320.668295838609,360.412132287815,330.202505138464
