"ds","Residuals"
1995-01-01,10.411297990212
1996-01-01,2.6319891920908
1997-01-01,8.29155591820918
1998-01-01,11.188252638305
1999-01-01,3.91039959160022
2000-01-01,-4.32890921253966
2001-01-01,0.450657499441178
2002-01-01,-1.10264583368505
2003-01-01,-12.3510102507138
2004-01-01,-10.4876980281425
2005-01-01,-5.94312839614346
2006-01-01,-3.26524808405028
2007-01-01,1.00811248305163
2008-01-01,-4.03652436389049
2009-01-01,-2.72610596350702
2010-01-01,-2.92939603283492
2011-01-01,-6.59651775839365
2012-01-01,-16.5182586118714
2013-01-01,2.63430726189313
2014-01-01,9.50967211561701
2015-01-01,5.07048719700552
2016-01-01,-7.9101566086498
2017-01-01,-2.65981896729224
2018-01-01,-6.16445725872569
2019-01-01,-11.0536453162547
2020-01-01,48.015710872607
2021-01-01,5.06604851396213
2022-01-01,-10.0885897774845
